Nodo Origen;Nodo Destino;Distancia;Latitud Origen;Longitud Origen;Latitud Destino;Longitud Destino
Padre Genesio y Av. Almte. Brown;Cardenal Fasolino y Av. Almte. Brown;100;-31.6058927;-60.6658898;-31.6067903;-60.6661209
Padre Genesio y Av. Almte. Brown;Javier de la Rosa y Monumento Gral. Jose Gervasio Artigas;100;-31.6058927;-60.6658898;-31.6043582;-60.6719111
Javier de la Rosa y Monumento Gral. Jose Gervasio Artigas;Padre Genesio y Av. Almte. Brown;100;-31.6043582;-60.6719111;-31.6058927;-60.6658898
Javier de la Rosa y Monumento Gral. Jose Gervasio Artigas;Regimiento 12 de Infanteria y Italia;100;-31.6043582;-60.6719111;-31.6040199;-60.66557
Regimiento 12 de Infanteria y Italia;Javier de la Rosa y Monumento Gral. Jose Gervasio Artigas;100;-31.6040199;-60.66557;-31.6043582;-60.6719111
Riobamba y Av. Almte. Brown;Juan Castelli y Riobamba;100;-31.6127428;-60.668822;-31.6119433;-60.668769
Juan Castelli y Riobamba;Estanislao Zeballos y Riobamba;100;-31.6119433;-60.668769;-31.6110293;-60.6685313
Estanislao Zeballos y Riobamba;Obispo Boneo y Riobamba;100;-31.6110293;-60.6685313;-31.6101041;-60.6682827
Obispo Boneo y Riobamba;Espora y Riobamba;100;-31.6101041;-60.6682827;-31.5952316;-60.7352506
Espora y Riobamba;Obispo Principe y Riobamba;100;-31.5952316;-60.7352506;-31.6082151;-60.667767
Obispo Principe y Riobamba;Alberti y Riobamba;100;-31.6082151;-60.667767;-31.6074023;-60.6675403
Alberti y Riobamba;Cardenal Fasolino y Riobamba;100;-31.6074023;-60.6675403;-31.6065786;-60.667324
Cardenal Fasolino y Riobamba;Padre Genesio y Riobamba;100;-31.6065786;-60.667324;-31.6056588;-60.6670542
Padre Genesio y Riobamba;Javier de la Rosa y Riobamba;100;-31.6056588;-60.6670542;-31.6047367;-60.6668069
Javier de la Rosa y Riobamba;Regimiento 12 de Infanteria y Riobamba;100;-31.6047367;-60.6668069;-31.603823;-60.6665512
Regimiento 12 de Infanteria y Defensa;Javier de la Rosa y Defensa;100;-31.6036122;-60.6676215;-31.6012734;-60.6826279
Javier de la Rosa y Defensa;Padre Genesio y Defensa;100;-31.6012734;-60.6826279;-31.6054418;-60.6681287
Padre Genesio y Defensa;Cardenal Fasolino y Defensa;100;-31.6054418;-60.6681287;-31.6063665;-60.6683829
Cardenal Fasolino y Defensa;Alberti y Defensa;100;-31.6063665;-60.6683829;-31.6106578;-60.697294
Alberti y Defensa;Obispo Principe y Defensa;100;-31.6106578;-60.697294;-31.6080113;-60.6688298
Obispo Principe y Defensa;Espora y Defensa;100;-31.6080113;-60.6688298;-31.6106578;-60.697294
Espora y Defensa;Obispo Boneo y Defensa;100;-31.6106578;-60.697294;-31.6099147;-60.6693373
Obispo Boneo y Defensa;Estanislao Zeballos y Defensa;100;-31.6099147;-60.6693373;-31.6108359;-60.6695877
Estanislao Zeballos y Defensa;Juan Castelli y Defensa;100;-31.6108359;-60.6695877;-31.6117412;-60.6698291
Juan Castelli y Talcahuano;Estanislao Zeballos y Talcahuano;100;-31.6115191;-60.6708916;-31.6106079;-60.6706416
Estanislao Zeballos y Talcahuano;Obispo Boneo y Talcahuano;100;-31.6106079;-60.6706416;-31.6048501;-60.6933624
Obispo Boneo y Talcahuano;Espora y Talcahuano;100;-31.6048501;-60.6933624;-31.6086368;-60.6701257
Espora y Talcahuano;Obispo Principe y Talcahuano;100;-31.6086368;-60.6701257;-31.6077928;-60.6698926
Obispo Principe y Talcahuano;Alberti y Talcahuano;100;-31.6077928;-60.6698926;-31.6061373;-60.6694455
Alberti y Talcahuano;Cardenal Fasolino y Talcahuano;100;-31.6061373;-60.6694455;-31.6061373;-60.6694455
Cardenal Fasolino y Talcahuano;Padre Genesio y Talcahuano;100;-31.6061373;-60.6694455;-31.6052277;-60.6691926
Padre Genesio y Talcahuano;Javier de la Rosa y Talcahuano;100;-31.6052277;-60.6691926;-31.6043167;-60.668946
Javier de la Rosa y Talcahuano;Regimiento 12 de Infanteria y Talcahuano;100;-31.6043167;-60.668946;-31.6033933;-60.6686875
Regimiento 12 de Infanteria y Cngo. Echague;Javier de la Rosa y Cngo. Echague;100;-31.6031708;-60.6698025;-31.6040896;-60.6700595
Javier de la Rosa y Cngo. Echague;Padre Genesio y Cngo. Echague;100;-31.6040896;-60.6700595;-31.6050197;-60.6702601
Padre Genesio y Cngo. Echague;Cardenal Fasolino y Cngo. Echague;100;-31.6050197;-60.6702601;-31.6059238;-60.6705314
Cardenal Fasolino y Cngo. Echague;Alberti y Cngo. Echague;50;-31.6059238;-60.6705314;-31.606447;-60.6706817
Alberti y Cngo. Echague;Obispo Principe y Cngo. Echague;110;-31.606447;-60.6706817;-31.6075692;-60.6709635
Obispo Principe y Cngo. Echague;Espora y Cngo. Echague;100;-31.6075692;-60.6709635;-31.5984841;-60.7183871
Espora y Cngo. Echague;Obispo Boneo y Cngo. Echague;100;-31.5984841;-60.7183871;-31.6094671;-60.6714587
Obispo Boneo y Cngo. Echague;Estanislao Zeballos y Cngo. Echague;100;-31.6094671;-60.6714587;-31.6103896;-60.6717144
Estanislao Zeballos y Cngo. Echague;Juan Castelli y Cngo. Echague;100;-31.6103896;-60.6717144;-31.6112953;-60.6719666
Juan Castelli y Patricio Cullen;Estanislao Zeballos y Patricio Cullen;100;-31.6110878;-60.6730112;-31.6101541;-60.6727665
Estanislao Zeballos y Patricio Cullen;Obispo Boneo y Patricio Cullen;100;-31.6101541;-60.6727665;-31.6092398;-60.6725298
Obispo Boneo y Patricio Cullen;Espora y Patricio Cullen;100;-31.6092398;-60.6725298;-31.6082179;-60.6722602
Espora y Patricio Cullen;Obispo Principe y Patricio Cullen;100;-31.6082179;-60.6722602;-31.6073565;-60.6720199
Alberti y Patricio Cullen;Cardenal Fasolino y Patricio Cullen;100;-31.6020475;-60.6706279;-31.6057083;-60.671577
Alberti y Patricio Cullen;Alberti y Cngo. Echague;100;-31.6020475;-60.6706279;-31.606447;-60.6706817
Cardenal Fasolino y Patricio Cullen;Pje. De Andrea y Patricio Cullen;50;-31.6057083;-60.671577;-31.6052248;-60.6714424
Pje. De Andrea y Patricio Cullen;Padre Genesio y Patricio Cullen;50;-31.6052248;-60.6714424;-31.6047999;-60.6713186
Padre Genesio y Patricio Cullen;Javier de la Rosa y Patricio Cullen;100;-31.6047999;-60.6713186;-31.6038737;-60.6711276
Javier de la Rosa y Patricio Cullen;Regimiento 12 de Infanteria y Patricio Cullen;100;-31.6038737;-60.6711276;-31.605082;-60.67153
Regimiento 12 de Infanteria y Antonia Godoy;Javier de la Rosa y Antonia Godoy;100;-31.6027465;-60.6719419;-31.6036611;-60.6722004
Padre Genesio y Antonia Godoy;Pje. De Andrea y Antonia Godoy;50;-31.6045888;-60.6724077;-31.6050189;-60.6725063
Pje. De Andrea y Patricio Cullen;Pje. De Andrea y Antonia Godoy;100;-31.6052248;-60.6714424;-31.6050189;-60.6725063
Pje. De Andrea y Antonia Godoy;Cardenal Fasolino y Antonia Godoy;50;-31.6050189;-60.6725063;-31.6055046;-60.6726398
Cardenal Fasolino y Antonia Godoy;Alberti y Antonia Godoy;100;-31.6055046;-60.6726398;-31.6071467;-60.6730978
Obispo Principe y Antonia Godoy;Espora y Antonia Godoy;100;-31.6071467;-60.6730978;-31.6071467;-60.6730978
Espora y Antonia Godoy;Obispo Boneo y Antonia Godoy;100;-31.6071467;-60.6730978;-31.6090094;-60.6735862
Obispo Boneo y Antonia Godoy;Estanislao Zeballos y Antonia Godoy;100;-31.6090094;-60.6735862;-31.6099372;-60.6738447
Estanislao Zeballos y Antonia Godoy;Juan Castelli y Antonia Godoy;100;-31.6099372;-60.6738447;-31.6108439;-60.6740875
Obispo Principe y Juan Maciel;Alberti y Juan Maciel;80;-31.6072605;-60.6725253;-31.6072344;-60.6725462
Alberti y Juan Maciel;Obispo Principe y Juan Maciel;100;-31.6072344;-60.6725462;-31.6072605;-60.6725253
Juan Castelli y Piedras;Estanislao Zeballos y Piedras;100;-31.610619;-60.6751584;-31.6096925;-60.6749145
Estanislao Zeballos y Piedras;Obispo Boneo y Piedras;100;-31.6096925;-60.6749145;-31.6087674;-60.6746527
Obispo Boneo y Piedras;Espora y Piedras;100;-31.6087674;-60.6746527;-31.607793;-60.674382
Espora y Piedras;Obispo Principe y Piedras;100;-31.607793;-60.674382;-31.6069411;-60.6741521
Obispo Principe y Piedras;Alberti y Piedras;100;-31.6069411;-60.6741521;-31.6061113;-60.6739421
Alberti y Piedras;Cardenal Fasolino y Piedras;100;-31.6061113;-60.6739421;-31.6052883;-60.6737171
Cardenal Fasolino y Piedras;Padre Genesio y Piedras;100;-31.6052883;-60.6737171;-31.6043747;-60.6734748
Padre Genesio y Piedras;Javier de la Rosa y Piedras;100;-31.6043747;-60.6734748;-31.6034617;-60.6732435
Javier de la Rosa y Piedras;Regimiento 12 de Infanteria y Piedras;100;-31.6034617;-60.6732435;-31.602539;-60.6730136
Regimiento 12 de Infanteria y Tacuari;Javier de la Rosa y Tacuari;100;-31.6023389;-60.6740204;-31.6032612;-60.6742642
Javier de la Rosa y Tacuari;Padre Genesio y Tacuari;100;-31.6032612;-60.6742642;-31.604174;-60.6745339
Padre Genesio y Tacuari;Cardenal Fasolino y Tacuari;100;-31.604174;-60.6745339;-31.6050911;-60.6747927
Cardenal Fasolino y Tacuari;Alberti y Tacuari;100;-31.6050911;-60.6747927;-31.6059034;-60.674987
Alberti y Tacuari;Obispo Principe y Tacuari;100;-31.6059034;-60.674987;-31.6067399;-60.6752202
Obispo Principe y Tacuari;Espora y Tacuari;100;-31.6067399;-60.6752202;-31.607586;-60.6754604
Espora y Tacuari;Obispo Boneo y Tacuari;100;-31.607586;-60.6754604;-31.6085482;-60.675713
Obispo Boneo y Tacuari;Estanislao Zeballos y Tacuari;100;-31.6085482;-60.675713;-31.6094725;-60.6759687
Estanislao Zeballos y Tacuari;Juan Castelli y Tacuari;100;-31.6094725;-60.6759687;-31.6104103;-60.6762143
Juan Castelli y Av. Gral. Paz;Estanislao Zeballos y Av. Gral. Paz;100;-31.6099822;-60.6780847;-31.6091207;-60.6776176
Estanislao Zeballos y Av. Gral. Paz;Juan Castelli y Av. Gral. Paz;100;-31.6091207;-60.6776176;-31.6099822;-60.6780847
Estanislao Zeballos y Av. Gral. Paz;Obispo Boneo y Av. Gral. Paz;100;-31.6091207;-60.6776176;-31.6082433;-60.6771404
Obispo Boneo y Av. Gral. Paz;Estanislao Zeballos y Av. Gral. Paz;100;-31.6082433;-60.6771404;-31.6091207;-60.6776176
Obispo Boneo y Av. Gral. Paz;Espora y Av. Gral. Paz;110;-31.6082433;-60.6771404;-31.6073499;-60.6766716
Espora y Av. Gral. Paz;Obispo Boneo y Av. Gral. Paz;100;-31.6073499;-60.6766716;-31.6082433;-60.6771404
Espora y Av. Gral. Paz;Obispo Principe y Av. Gral. Paz;100;-31.6073499;-60.6766716;-31.6065238;-60.6762147
Obispo Principe y Av. Gral. Paz;Espora y Av. Gral. Paz;100;-31.6065238;-60.6762147;-31.6073499;-60.6766716
Obispo Principe y Av. Gral. Paz;Alberti y Av. Gral. Paz;100;-31.6065238;-60.6762147;-31.6199261;-60.6856858
Alberti y Av. Gral. Paz;Obispo Principe y Av. Gral. Paz;100;-31.6199261;-60.6856858;-31.6065238;-60.6762147
Alberti y Av. Gral. Paz;Cardenal Fasolino y Av. Gral. Paz;100;-31.6199261;-60.6856858;-31.6049727;-60.6753921
Cardenal Fasolino y Av. Gral. Paz;Alberti y Av. Gral. Paz;100;-31.6049727;-60.6753921;-31.6199261;-60.6856858
Cardenal Fasolino y Av. Gral. Paz;Padre Genesio y Av. Gral Paz;100;-31.6049727;-60.6753921;-31.6040648;-60.6750893
Padre Genesio y Av. Gral Paz;Cardenal Fasolino y Av. Gral. Paz;100;-31.6040648;-60.6750893;-31.6049727;-60.6753921
Padre Genesio y Av. Gral Paz;Javier de la Rosa y Av. Gral. Paz;100;-31.6040648;-60.6750893;-31.6031099;-60.6747878
Javier de la Rosa y Av. Gral. Paz;Padre Genesio y Av. Gral Paz;100;-31.6031099;-60.6747878;-31.6040648;-60.6750893
Javier de la Rosa y Av. Gral. Paz;Regimiento 12 de Infanteria y Av. Gral. Paz;100;-31.6031099;-60.6747878;-31.6022356;-60.6745665
Regimiento 12 de Infanteria y Av. Gral. Paz;Javier de la Rosa y Av. Gral. Paz;100;-31.6022356;-60.6745665;-31.6031099;-60.6747878
Juan Castelli y Velez Sarsfield;Estanislao Zeballos y Velez Sarsfield;100;-31.6101699;-60.67727;-31.6092522;-60.6770081
Angel Cassanello y Av. Gral. Paz;Angel Cassanello y Dorrego;50;-31.6124829;-60.6799154;-31.6126277;-60.6791884
Angel Cassanello y Dorrego;Angel Cassanello y Velez Sarsfield;100;-31.6126277;-60.6791884;-31.6128784;-60.6780448
Angel Cassanello y Velez Sarsfield;Angel Cassanello y Tacuari;100;-31.6128784;-60.6780448;-31.6131196;-60.6769778
Angel Cassanello y Tacuari;Angel Cassanello y Piedras;100;-31.6131196;-60.6769778;-31.6133462;-60.6759021
Angel Cassanello y Piedras;Angel Cassanello y Antonia Godoy;100;-31.6133462;-60.6759021;-31.6135865;-60.6748439
Angel Cassanello y Antonia Godoy;Angel Cassanello y Patricio Cullen;100;-31.6135865;-60.6748439;-31.6138074;-60.6737783
Angel Cassanello y Patricio Cullen;Angel Cassanello y Cngo. Echague;100;-31.6138074;-60.6737783;-31.6140365;-60.672713
Angel Cassanello y Cngo. Echague;Angel Cassanello y Talcahuano;100;-31.6140365;-60.672713;-31.6142669;-60.6716558
Angel Cassanello y Talcahuano;Angel Cassanello y Av. Almte. Brown;30;-31.6142669;-60.6716558;-31.6145167;-60.6709367
